name,compatibility,category,description
Explosive Delivery,chest,Skill DPS,"Whenever you throw a skill, 1.5 seconds after landing, it creates an explosion damaging enemies within 5m.  Afterwards explosions will occur evey 5s.  Damage scales with skill tier dealing 25-100% damage of a concussion grenade.   Occurs once per skill.   Applies to Remote Pulse, All Turrets, All Hives, Explosive Seeker, Cluster Seeker, Mender Seeker, Decoy, All Traps."
Perfect Explosive Delivery,N/A,Skill DPS,"Whenever you throw a skill, 1.5 seconds after landing, it creates an explosion damaging enemies within 5m.  Afterwards explosions will occur evey 5s.  Damage scales with skill tier dealing 25-100% damage of a concussion grenade.   Occurs once per skill.   Applies to Remote Pulse, All Turrets, All Hives, Explosive Seeker, Cluster Seeker, Mender Seeker, Decoy, All Traps."
Kinetic Momentum,chest,Skill DPS/ Sustain,"When in combat, each skill generates stacks while active or not on cooldown  Each stack increases your total skill damage by 1.5% and total skill repair by 2%.  Up to 15 (18) stacks per skill. Stacks are lost when skills go on cooldown."
Perfect Kinetic Momentum,N/A,Skill DPS/ Sustain,"When in combat, each skill generates stacks while active or not on cooldown  Each stack increases your total skill damage by 1.5% and total skill repair by 2%.  Up to 15 (18) stacks per skill. Stacks are lost when skills go on cooldown."
Gunslinger,chest,Weapon DPS,Weapon swapping increases total weapon damage by 23% (28%) for 5s.  This buff is lost for 5s if you weapon swap while it is active.
Perfect Gunslinger,N/A,Weapon DPS,Weapon swapping increases total weapon damage by 23% (28%) for 5s.  This buff is lost for 5s if you weapon swap while it is active.
Focus,chest,,"Increases total weapon damage by 5% (6%) every second you are aiming while scoped 8x or higher, up to 50% (60%)."
Perfect Focus,N/A,,"Increases total weapon damage by 5% (6%) every second you are aiming while scoped 8x or higher, up to 50% (60%)."
Spark,chest,,Damaging an enemy with a skill increases total weapon damage by 15% (18%) for 15s (20s).
Perfect Spark,N/A,,Damaging an enemy with a skill increases total weapon damage by 15% (18%) for 15s (20s).
Obliterate,chest,,Critical hits increase total weapon damage by 1% for 10s. Stacks up to 20 (24) times.
Perfect Obliterate,N/A,,Critical hits increase total weapon damage by 1% for 10s. Stacks up to 20 (24) times.
Intimidate,chest,,"While you have bonus armour, gain 3 stacks each second up to a max of 9 (10). Each stack increases total weapon damage by 4% to enemies within 10m.  All stacks are lost when you have no bonus armour."
Perfect Intimidate,N/A,,"While you have bonus armour, gain 3 stacks each second up to a max of 9 (10). Each stack increases total weapon damage by 4% to enemies within 10m.  All stacks are lost when you have no bonus armour."
Headhunter,chest,,"After killing an enemy with a headshot, your next weapon hit within 30s deals 125% (150%) of that killing blow's damage in addition to it. Damage is capped to 800% of your weapon damage. This is raised to 1250% if your headshot damage is greater than 150%."
Perfect Headhunter,N/A,,"After killing an enemy with a headshot, your next weapon hit within 30s deals 125% (150%) of that killing blow's damage in addition to it. Damage is capped to 800% of your weapon damage. This is raised to 1250% if your headshot damage is greater than 150%."
Empathic Resolve,chest,Weapon/ Skill DPS,"Repairing an ally, increases their total weapon and skill damage by 3-15% for 10s. 1-7% if self.  Effectiveness increased by your skill tier."
Overwatch,chest,,"After staying in cover for 10s (8s), increase your and all allies' total weapon and skill damage by 12% (14%) as long as you remain in cover or in a cover-to-cover move."
Perfect Overwatch,N/A,,"After staying in cover for 10s (8s), increase your and all allies' total weapon and skill damage by 12% (14%) as long as you remain in cover or in a cover-to-cover move."
Glass Cannon,chest,,All damage you deal is amplified by 25% (30%).  All damage you take is amplified by 50% (60%).
Perfect Glass Cannon,N/A,,All damage you deal is amplified by 25% (30%).  All damage you take is amplified by 50% (60%).
Spotter,chest,,Amplifies total weapon and skill damage by 15% (20%) to pulsed enemies.
